seq,Q2,Q3,Q5_R1,Q5_R2,Q5_R3,Q5_R4,Q5_R5,Q5_R6,Q5_R7,Q5_R8,Q5_R9,Q5_R10,Q5_R11,Q5_R12,Q5_R13,Q5_R14,Q5_R15,Q5_R16,Q5_R17,Q5_R18,Q5_R19,Q5_R20,Q5_R21,Q5_R22,Q5_R23,Q5_R24,Q5_R25,Q5_R26,Q5_R28,Q6_R1,Q6_R2,Q6_R3,Q6_R4,Q6_R5,Q6_R10,Q6_R6,Q6_R7,Q6_R8
1,2,2,3,4,2,3,4,3,3,4,3,2,3,4,2,2,2,3,4,2,3,3,3,3,1,3,3,4,3,3,3,2,2,2,3,4,3,1
2,2,2,2,3,2,1,3,1,1,1,3,2,1,1,1,3,1,1,1,1,2,1,1,3,1,3,2,1,1,2,2,1,3,1,3,3,1,1
3,1,2,2,3,3,4,2,3,3,2,3,4,2,2,1,3,2,5,3,4,5,4,2,2,2,3,4,4,3,2,2,1,2,2,3,3,2,3
4,1,2,4,1,2,4,3,1,3,4,3,1,2,3,1,1,2,3,4,1,3,1,1,2,1,1,3,2,1,2,1,3,3,1,3,3,1,2
5,2,2,3,4,2,3,3,3,5,3,2,5,1,3,4,3,4,3,4,2,4,3,4,3,5,3,3,4,2,2,3,3,4,3,4,2,3,2
6,1,2,2,4,3,3,3,2,2,3,3,4,4,4,4,3,3,4,4,2,3,3,3,3,3,4,4,3,3,1,1,2,3,1,3,3,1,1
7,1,2,2,3,3,3,2,1,1,2,2,1,1,1,1,1,1,1,1,3,3,3,2,2,2,3,2,3,2,2,3,2,2,2,3,4,2,3
8,1,2,3,4,3,4,3,3,4,4,3,2,4,3,3,4,2,3,4,2,4,4,4,2,3,4,4,2,3,2,2,3,2,2,2,2,2,2
9,2,2,2,1,1,2,3,3,1,3,2,2,1,3,1,2,2,1,2,1,1,1,3,4,1,2,2,1,2,2,2,2,3,1,3,3,1,1
10,2,2,1,1,3,1,4,2,2,3,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,4,1,3,4,2,1
11,2,2,4,3,4,5,4,3,3,4,3,3,4,4,4,3,3,4,4,3,4,4,4,4,4,3,3,4,4,2,2,3,3,2,3,3,1,1
12,2,2,3,3,4,2,2,2,4,3,4,5,2,2,3,4,5,3,3,4,5,3,4,3,4,4,4,4,4,2,3,3,3,3,3,4,2,2
13,1,2,3,2,3,2,3,2,4,3,2,4,2,3,4,2,3,2,3,2,4,2,4,3,4,2,2,3,2,2,3,2,3,2,3,2,3,3
14,1,2,3,4,5,3,2,1,2,2,4,3,1,1,1,2,4,3,2,3,2,2,2,3,3,2,1,2,3,2,1,3,2,3,1,2,3,2
15,1,2,5,5,4,4,4,3,5,3,4,4,5,4,5,4,4,4,5,3,5,5,4,3,4,3,4,4,4,2,2,1,2,2,3,3,1,1
16,1,2,1,1,2,2,3,3,1,2,3,1,4,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,3,2,3,2,2,3,3,2,1,1
17,2,2,1,1,2,1,3,1,1,3,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,1,3,3,1,1
18,1,2,3,2,4,3,4,3,4,3,4,5,2,2,3,3,5,3,4,3,4,4,3,4,5,3,3,4,3,3,2,2,3,2,4,3,4,3
19,1,2,2,3,2,3,4,2,3,4,4,4,1,1,1,3,2,4,4,4,1,1,1,3,1,1,3,2,2,3,3,3,2,3,3,2,3,3
20,1,2,4,4,2,5,3,3,4,5,2,4,2,3,3,5,3,3,4,4,2,3,4,2,3,3,4,4,4,2,2,3,2,3,2,4,2,3
21,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,4,1,1
22,2,1,3,2,3,3,2,3,1,2,3,2,1,3,1,1,2,1,3,2,1,1,1,3,1,2,3,2,2,2,2,4,2,2,3,2,2,2
23,2,2,3,1,4,2,2,1,1,2,3,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,2,2,2,3,4,2,3,2,1,1
24,2,2,2,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,3,1,3,2,2,2
25,2,2,2,2,3,2,1,1,2,2,1,2,1,1,2,1,2,2,1,1,2,2,1,2,2,1,1,2,2,2,2,1,3,1,3,2,1,1
26,2,2,1,3,3,2,2,3,3,3,3,3,3,3,3,2,4,4,3,2,3,3,3,3,3,3,4,3,3,2,2,2,3,1,3,3,1,1
27,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,2,3,2,1,1
28,1,2,3,2,5,3,3,3,3,3,2,3,5,3,3,2,2,4,2,2,2,3,2,4,2,2,2,1,1,2,2,2,2,3,2,1,1,3
29,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,4,1,1
30,1,2,3,4,3,2,5,4,4,3,2,4,4,2,3,3,3,4,3,2,4,5,3,5,4,3,2,4,4,2,2,3,3,3,3,2,3,2
31,2,2,2,2,4,4,4,3,1,5,5,3,1,3,3,4,4,5,3,5,1,1,1,5,1,3,5,1,1,2,3,2,2,4,3,2,3,1
32,2,2,3,1,1,2,1,1,1,1,2,1,1,1,1,1,3,1,2,1,1,1,1,3,1,1,2,2,1,2,2,3,4,2,3,3,2,1
33,2,2,3,3,2,2,2,2,1,1,2,1,2,1,1,2,3,3,2,1,1,3,1,2,3,2,1,1,1,1,2,1,2,1,3,2,2,1
34,1,2,2,2,3,2,2,1,2,2,2,3,2,3,5,3,3,3,2,1,3,3,3,2,2,2,2,3,1,2,1,1,4,2,3,1,1,1
35,1,2,2,1,3,2,2,2,1,1,2,2,1,1,1,1,2,1,1,1,2,1,1,3,1,2,1,1,1,2,3,2,2,3,3,2,2,1
36,1,2,3,2,4,1,1,3,3,2,4,2,3,1,5,3,3,2,4,2,4,3,2,4,3,2,4,5,2,2,1,3,2,3,4,1,2,1
37,2,2,1,1,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,3,2,2,1
38,1,2,2,1,2,2,2,1,3,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,3,3,1,2
39,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,4,1,1
40,2,2,3,4,4,3,3,3,4,2,4,5,5,4,5,3,4,3,2,2,3,4,2,3,4,3,3,4,4,2,3,1,4,2,3,2,3,2
41,2,2,2,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,3,3,1,1
42,1,2,3,4,3,3,2,4,3,2,4,3,1,1,1,3,3,2,4,2,3,1,2,4,3,3,3,1,1,2,3,2,2,1,3,2,1,1
43,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,4,1,1
44,2,2,2,1,3,2,2,2,1,3,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,2,2,2,3,2,3,3,2,1
45,1,2,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,1,2,2,3,2,1,3,3,1,2,2
46,2,2,2,1,3,2,3,2,1,5,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,3,2,3,4,2,2
47,2,2,1,2,2,2,3,2,3,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,3,2,3,3,2,1
48,1,2,3,1,2,1,2,1,1,1,3,1,1,1,1,2,2,2,2,1,1,1,1,2,1,2,2,1,2,2,2,2,3,1,3,3,2,1
49,1,2,3,2,4,5,3,3,2,2,4,4,3,3,2,2,2,2,2,2,2,3,2,5,2,3,1,3,2,3,2,2,1,2,3,2,3,2
50,2,2,2,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,4,3,3,3,1,1
51,1,2,1,1,2,1,3,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,4,1,3,3,1,1
52,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,3,4,1,1
53,1,2,2,2,2,3,3,1,1,3,2,1,1,4,1,1,2,3,1,2,1,1,1,1,1,1,1,2,2,1,2,2,3,1,3,3,1,1
54,2,2,3,1,3,2,1,1,2,4,3,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,2,2,1,2,3,1,3,3,1,1
55,1,2,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1
56,2,2,1,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,3,1,3,3,1,1
57,2,2,4,3,3,3,2,1,1,1,3,4,1,1,1,2,3,2,1,1,2,1,1,3,1,1,1,1,1,3,2,2,3,2,3,3,2,1
58,1,2,1,2,2,2,1,2,2,1,3,1,1,3,1,2,3,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,4,2,3,4,2,1
59,2,2,2,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,2,1,2,2,1,2,1,1,2,1,2,1,1,1,1,1,3,2,1,1
60,2,2,2,2,1,1,2,3,2,4,2,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,3,1,1,3,2,3,4,1,3,4,1,1
61,1,1,2,2,1,1,3,1,1,3,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,2,1,1,1,1,2,3,2,3,3,1,2
62,2,1,3,4,4,2,3,2,1,3,4,2,4,4,4,3,3,4,3,3,3,2,3,4,2,3,3,4,3,2,2,1,4,2,3,4,2,2
63,2,2,2,1,2,3,4,2,3,3,3,1,1,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2,2,2,3,2,2,3,3,2,1
64,2,2,2,3,2,3,2,2,2,3,2,3,2,2,2,1,2,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1,1,2
65,1,2,4,3,2,2,3,2,2,4,4,5,4,5,4,4,3,5,3,4,3,4,2,4,3,5,3,3,3,3,3,3,3,4,2,3,4,3
66,1,2,3,2,2,3,4,3,2,4,3,3,1,1,1,2,3,2,1,3,3,1,1,3,2,2,3,3,2,1,2,2,4,3,3,3,2,2
67,2,2,2,1,3,2,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,3,2,3,3,2,1
68,1,2,2,2,3,2,2,1,1,1,3,2,1,1,1,1,4,1,1,2,2,1,1,3,1,2,4,2,1,2,1,2,3,2,3,2,1,1
69,1,1,3,4,3,4,3,2,2,3,4,3,2,3,4,3,3,4,3,3,3,2,3,4,4,3,3,4,4,2,2,1,3,3,2,2,3,2
70,2,2,3,2,2,3,2,2,2,3,2,1,1,2,4,3,3,2,3,3,2,2,1,1,2,2,3,2,2,2,1,1,2,3,2,1,2,1
71,1,2,2,2,3,2,4,1,2,1,1,3,4,3,3,2,1,2,2,2,3,2,3,3,2,2,1,2,2,2,2,2,1,2,2,3,2,2
72,1,2,3,2,2,3,2,2,3,3,2,2,1,3,1,2,2,3,2,2,2,3,2,1,1,3,2,2,2,2,1,2,2,3,3,2,3,2
73,2,2,3,4,4,5,2,3,3,4,4,1,4,3,4,3,3,2,4,2,3,4,3,5,4,4,3,5,2,3,2,3,3,2,3,3,1,1
74,2,2,2,1,2,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,3,1,2,2,2,3,4,1,3,4,2,1
75,2,2,1,1,2,1,3,3,1,2,4,1,1,1,1,2,3,2,2,1,1,1,1,1,1,1,3,1,3,1,2,3,4,2,3,3,1,2
76,2,2,2,2,2,2,1,1,1,3,3,2,1,1,1,1,2,4,2,2,2,1,1,2,1,1,2,1,1,3,2,1,2,3,3,2,2,1
77,2,2,3,3,2,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,3,3,1,1
78,1,2,2,1,2,2,3,1,2,3,2,1,1,1,2,2,2,2,1,2,2,1,1,1,1,1,2,2,1,1,2,2,3,1,3,3,2,3
79,1,1,2,3,3,2,2,3,1,1,4,2,1,1,1,1,3,1,1,1,1,1,1,4,1,1,3,1,2,2,2,2,3,3,3,3,2,1
80,2,2,2,1,1,2,1,2,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,2,2,2,3,2,3,3,2,2
81,1,2,1,1,2,3,2,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,2,2,3,2,2,2,2,2,3,2,2,1
82,1,2,3,2,3,4,2,2,1,1,2,1,1,2,2,3,1,4,3,1,1,1,1,2,3,2,5,1,3,2,3,2,1,3,2,3,2,1
83,2,2,2,2,2,2,2,3,1,3,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,3,2,3,3,2,1
84,2,2,2,1,2,1,2,1,2,3,1,1,2,1,1,2,1,3,2,3,1,1,1,1,1,1,2,1,2,1,1,2,3,1,3,3,1,1
85,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,3,3,1,1
86,2,2,2,1,2,3,2,1,3,2,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,2,2,1,1,3,2,3,3,2,1
87,2,2,3,1,1,3,2,3,2,4,3,2,1,1,1,2,2,1,2,1,2,1,1,2,1,2,3,1,1,1,1,1,3,2,3,4,1,1
88,2,2,2,3,2,3,2,1,2,2,2,1,1,1,1,2,2,3,2,2,2,1,1,1,1,1,1,2,2,2,2,2,3,2,3,3,2,1
89,2,2,2,1,1,1,2,3,1,2,4,1,1,1,4,1,2,2,3,1,1,1,1,4,1,1,1,1,1,2,2,2,3,2,3,4,2,1
90,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,3,3,1,1
91,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,3,3,2,1
92,2,2,1,1,2,2,1,2,1,2,3,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,2,2,1,1,1,2,4,1,3,4,1,1
93,1,2,3,4,3,4,3,2,4,4,3,2,2,4,5,4,3,4,4,2,4,5,4,3,4,4,3,3,2,2,2,2,2,2,3,2,2,2
94,1,2,2,3,1,3,1,1,1,1,1,2,1,5,5,1,2,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,4,1,2,4,1,1
95,2,2,2,4,3,2,2,4,3,2,2,3,4,4,5,4,4,3,3,3,4,5,2,3,4,2,3,4,1,2,2,1,3,2,3,3,1,1
96,1,1,2,3,1,4,2,1,1,2,4,2,1,2,2,2,2,2,1,1,2,1,1,3,1,2,3,2,2,4,3,4,2,1,3,3,1,1
97,1,2,2,1,3,2,2,1,1,2,2,3,1,1,1,2,2,1,1,2,2,2,1,3,1,4,3,1,2,2,2,3,3,2,3,3,2,1
98,1,2,2,1,2,1,1,2,1,3,3,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,2,3,4,1,3,4,1,1
99,2,2,1,1,2,2,2,1,1,4,2,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,3,3,2,3,3,1,1
100,2,1,4,3,5,3,5,4,3,1,5,2,2,1,1,2,5,1,4,5,2,1,1,5,1,4,5,2,3,4,4,3,2,3,3,2,3,3